               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11427,            0.072974,            0.023249,            0.028329,             0.77526,            0.051772,            0.011528,             0.08268,            0.088343,            0.020226,            0.070423,           0.0032864,           0.0032864
                   1,            0.093045,            0.088077,            0.020092,             0.21441,             0.28509,             0.21309,            0.046798,            0.091767,            0.061147,            0.017971,            0.038437,           0.0046338,           0.0046338
                   2,            0.087115,            0.070726,            0.018106,             0.33383,             0.51621,              0.3059,            0.065248,            0.084523,             0.07372,             0.01751,           0.0044507,           0.0039812,           0.0039812
