               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026738,            0.035596,           0.0061749,             0.97632,              0.9597,             0.98393,              0.7558,             0.01753,            0.025916,           0.0037425,            0.000965,            0.000965,            0.000965
                  37,            0.028497,            0.042214,           0.0057665,             0.98756,             0.97459,             0.98946,             0.76815,            0.017894,            0.026344,           0.0032363,            0.000964,            0.000964,            0.000964
                  38,            0.027301,            0.037227,            0.005107,             0.98393,             0.97532,             0.99102,             0.78035,             0.01849,            0.028767,           0.0026388,            0.000963,            0.000963,            0.000963
                  39,             0.02818,            0.039263,           0.0050446,             0.96292,             0.95988,             0.99343,             0.70575,            0.017528,            0.026114,           0.0027898,            0.000962,            0.000962,            0.000962
                  40,             0.02725,            0.037705,            0.004325,             0.97582,             0.97222,             0.98598,             0.78811,            0.016317,            0.024495,           0.0021972,            0.000961,            0.000961,            0.000961
                  41,            0.027433,            0.039773,           0.0041577,             0.97625,             0.95887,             0.99053,             0.78333,            0.016595,             0.02615,           0.0020756,             0.00096,             0.00096,             0.00096
                  42,            0.026418,             0.03813,           0.0035011,             0.97101,             0.98413,             0.99175,             0.78366,            0.016029,            0.027037,           0.0018286,            0.000959,            0.000959,            0.000959
                  43,            0.025261,            0.037869,           0.0032096,             0.97525,             0.98993,              0.9885,             0.77156,            0.016393,            0.030844,           0.0013249,            0.000958,            0.000958,            0.000958
                  44,            0.026281,            0.038708,           0.0029617,             0.97938,             0.97406,              0.9913,             0.77489,            0.017592,            0.029871,           0.0012664,            0.000957,            0.000957,            0.000957
                  45,             0.02747,            0.037615,           0.0029723,              0.9639,             0.96429,             0.99082,             0.78576,            0.016325,            0.028461,           0.0014805,            0.000956,            0.000956,            0.000956
                  46,            0.028399,            0.040269,            0.002734,             0.97656,             0.98292,             0.98984,             0.76342,            0.018242,            0.029832,          0.00091923,            0.000955,            0.000955,            0.000955
                  47,            0.026949,             0.03622,           0.0031233,              0.9791,             0.98634,             0.98894,             0.81585,             0.01619,             0.02509,           0.0008718,            0.000954,            0.000954,            0.000954
                  48,            0.027561,            0.040587,           0.0026088,             0.96783,             0.98901,             0.98999,             0.80046,            0.017551,            0.025814,          0.00087082,            0.000953,            0.000953,            0.000953
                  49,             0.02671,            0.037227,           0.0027403,             0.96063,             0.99206,             0.99208,             0.81483,            0.016072,            0.025732,          0.00089951,            0.000952,            0.000952,            0.000952
                  50,            0.025051,            0.034703,           0.0027779,             0.98738,             0.97314,             0.99316,             0.81937,             0.01552,            0.025476,          0.00083846,            0.000951,            0.000951,            0.000951
                  51,            0.025009,            0.034302,           0.0022164,             0.97637,              0.9881,             0.99345,             0.83451,            0.016713,            0.025982,          0.00073825,             0.00095,             0.00095,             0.00095
                  52,             0.02615,             0.03967,           0.0026267,             0.98211,             0.98977,             0.99194,             0.81669,            0.016728,            0.025321,          0.00071272,          0.00094901,          0.00094901,          0.00094901
                  53,            0.024356,             0.03318,           0.0018516,             0.95346,              0.9881,             0.99091,             0.82308,            0.015586,             0.02682,             0.00107,          0.00094801,          0.00094801,          0.00094801
                  54,            0.023919,            0.034597,           0.0022161,             0.97594,             0.98413,             0.99286,             0.82003,            0.015224,            0.028019,           0.0008129,          0.00094701,          0.00094701,          0.00094701
                  55,            0.024017,            0.037364,            0.002102,             0.95379,             0.96554,             0.98992,              0.8214,            0.015441,             0.02529,            0.001429,          0.00094601,          0.00094601,          0.00094601
                  56,            0.023104,            0.031667,           0.0020113,              0.9861,             0.98582,             0.99334,             0.80939,            0.016054,            0.026213,          0.00058552,          0.00094501,          0.00094501,          0.00094501
                  57,            0.024169,            0.036503,           0.0022877,             0.96772,             0.98413,             0.98863,             0.82249,            0.015125,            0.029345,          0.00069471,          0.00094401,          0.00094401,          0.00094401
                  58,            0.025153,            0.034746,           0.0021419,             0.96249,             0.97658,             0.98944,             0.75871,            0.016349,            0.030832,          0.00072093,          0.00094301,          0.00094301,          0.00094301
                  59,             0.02413,             0.03711,           0.0022348,             0.96206,             0.97956,             0.99179,             0.80977,            0.015442,            0.030276,          0.00071124,          0.00094201,          0.00094201,          0.00094201
                  60,            0.023561,            0.035328,           0.0019341,             0.97092,             0.98505,             0.99278,             0.82139,            0.015074,            0.026712,          0.00065068,          0.00094101,          0.00094101,          0.00094101
                  61,            0.023146,            0.035637,           0.0019126,             0.95273,             0.98901,             0.99323,             0.80938,              0.0154,            0.029226,          0.00072063,          0.00094001,          0.00094001,          0.00094001
                  62,            0.023181,            0.031633,           0.0021257,             0.96575,              0.9891,             0.99322,             0.82187,            0.014417,            0.027997,          0.00069195,          0.00093901,          0.00093901,          0.00093901
                  63,            0.024824,            0.035537,           0.0021185,             0.96086,             0.97719,             0.98931,             0.82305,            0.014361,            0.028051,          0.00085814,          0.00093801,          0.00093801,          0.00093801
                  64,            0.022834,            0.035005,           0.0022945,             0.97769,             0.98901,              0.9923,             0.81934,            0.015039,            0.028186,          0.00058296,          0.00093701,          0.00093701,          0.00093701
                  65,            0.024334,            0.032538,           0.0023248,              0.9854,             0.98914,             0.99384,             0.82621,            0.015481,            0.027115,          0.00056303,          0.00093601,          0.00093601,          0.00093601
                  66,            0.025834,            0.036416,           0.0023316,             0.97873,             0.98597,             0.99313,             0.83187,             0.01524,            0.027815,          0.00054803,          0.00093501,          0.00093501,          0.00093501
                  67,            0.025297,            0.034953,           0.0023315,             0.90843,              0.9157,             0.97404,             0.79435,            0.014708,            0.026595,           0.0053843,          0.00093401,          0.00093401,          0.00093401
                  68,            0.024659,            0.036213,           0.0023389,             0.95142,             0.95144,             0.98919,             0.80361,            0.014618,            0.025333,           0.0026374,          0.00093301,          0.00093301,          0.00093301
